DatabaseName;ModelCode;EntityClassCode;EntityStereoType;Comment
FBI_CORE_CORE_P;AL1_AccountingP2P_PDM;INTF_AccountingP2P_PerFact;Bridge;Accounting P2P Persisted Fact table
FBI_CORE_CORE_P;AL1_AccountingP2P_PDM;INTF_AccountingP2P_PerFact_SNAP;Bridge;Snapshot table of Accounting P2P Persisted Fact table
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact;Reference Zone;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_A2;Bridge;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_A2_Temp;Reference Zone;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_B2;Bridge;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_B2_Temp;Reference Zone;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_B4;Bridge;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_B4_Temp;Reference Zone;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_D0;Bridge;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_D0_Temp;Reference Zone;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_D1;Bridge;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_D1_Temp;Reference Zone;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_D3;Bridge;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_D3_Temp;Reference Zone;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_D4;Bridge;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_D4_Temp;Reference Zone;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_D7;Bridge;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_D7_Temp;Reference Zone;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_G0;Bridge;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_G0_Temp;Reference Zone;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_G1;Bridge;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_G1_Temp;Reference Zone;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_G2;Bridge;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_G2_Temp;Reference Zone;
FBI_CORE_CORE_P;AL1_CostsActual_PDM;CO_CostActual_PerFact_G3;Bridge;
