SchemaName;SchemaID;DataCORELayer;ObjectName;ObjectID;ObjectType;ObjectTypeDescription;ObjectSQLCode_Anzahl_Character;ObjectSQLCode_First_32767_Characters
INFI_CIVS_CSC1;105;INFormation Mart as Interface;V_Plant_V1_IDIM1;979330;V ;VIEW;1332;/**/ /* View: V_Plant_V1_IDIM1 */ /**/ /* =*/ /* V01.00.00 2022-05-04 FRI3SH */ /* This view provides the Plant Code for the application CIVS (Central Inventory */ /* Valuation Solution) of GS. This Dimension is referenced via linked Server by Core Light */ /* Data.CORE Outgoing Interface #0227 https://inside-docupedia.bosch.com/confluence/x/HsYxhg */ /* Restriction: */ /* none */ /* Changes: */ /* V01.00.00 - Initial version */ /* =*/
INFI_Costs_CDP_CSC2;69;INFormation Mart as Interface;V_INTF_CDP_CostActual_V2_IFCT0_D4;1083440;V ;VIEW;3974;/**/ /* View: V_INTF_CDP_CostActual_V2_IFCT0_D4 */ /**/ /* = */ /* V01.00.00 2023-03-15 Ismail Okadia GS/TET3-NA */ /* This view is to provide CO-OM Cost Actuals data for Cost Driver Planning application (CDP) */ /* Data.CORE Outgoing Interface #0337 https://inside-docupedia.bosch.com/confluence/x/RBnSqQ */ /* Implemented Soft Rules */ /* Filter Cost Actual Fact Data by Company Code Positive List */ /* #FBI-SR-000000057 https://inside-docupedia.bosch.com/confluence/x/fFf1Yw */ /* Update: */ /* V01.00.00 Recreated view on top of persisted Fact [COCostActual_V2_MFCT0_D4] */ /* */
INFI_Costs_SSAS_CSC2;51;INFormation Mart as Interface;V_FactActualCostMaintenanceOrder_G4;1643299;V ;VIEW;2634;/**/ /* View: V_FactActualCostMaintenanceOrder_G4 */ /**/ /**/ /* V01.00.03 2021-11-23 Szivos Andras CI/BTM-AC1 */ /* Fact view for Costs Maintenance Order booked on Maintenance Orders from P81 */ /* Changes: */ /* - V01.00.03 2021-11-23 Szivos Andras CI/BTM-AC1 Clean up of SQL code */ /* - V01.00.00 2021-09-24 Szivos Andras CI/BTM-AC1 Original version created */ /**/
MEAV_DataCORE_CSC1;47;MEtA Vault;V_COCostActualLineItemDelta_O1;4507395;V ;VIEW;2045;/**/ /* View: V_COCostActualLineItemDelta_O1 */ /**/ /* =*/ /* V01.00.02 2022-11-02 Yannick Sigwalt, GS/BDD1 */ /* This view reads all the loaded records from [RAWV_COOM_CSC1].[COCostActualLineItem_WSAT0_xx_L] */ /* to identify new CO actuals cost line item */ /* Restriction: */ /* - none */ /* Update: */ /* - V01.00.02 - Reworked SQL */ /* =*/
INFI_RnDAnalysis_SSAS_CSC1;103;INFormation Mart as Interface;V_WBSElement_V1_IDIM1_B2;8087515;V ;VIEW;8563;/**/ /* View: V_WBSElement_V1_IDIM1_B2 */ /**/ /* =*/ /* V01.00.05 2023-07-31 Philipp Staiger GS/BDD1 */ /* This view provides information, which R&D projects received costs */ /* Data.CORE Outgoing Interface #0199 https://inside-docupedia.bosch.com/confluence/x/yRcjfg */ /* #FBI-SR-000000055:https://inside-docupedia.bosch.com/confluence/x/L7SyYg */ /* Restriction: */ /* only WBS-Elements having bookings in the R&D facts (actual or plan) are considered */ /* Changes: */ /* V01.00.05 - Changed mapping for CostCollector from PartnerObject to PlannedObject */ /* V01.00.04 - performance optimization - changed scalar to */ /* tabular function ufn_WBSElementToSAPExternalFormat */ /* V01.00.03 - optimized view + Added EndDating Satellite */ /* V01.00.02 - Added WBSElements for PlanCost & optimized view */ /* V01.00.01 - Added documentation for BR % SR, link for CostCenterResponsible */ /* V01.00.00 - Initial version */ /* =*/
INFI_Optravis_CSC2;63;INFormation Mart as Interface;V_INTF_PnL_C3;11511470;V ;VIEW;15157;"/**/ /* View: V_INTF_PnL_C3 */ /**/ /* =*/ /* V01.09.00 2023-03-07 Hui Yang BD/XSP4 & Tatjana Derdus CI/DAV2.3 & Yannick Sigwalt GS/BDO12 */ /* Interface view for transfer of monthly sales transactions data to Optravis */ /* This view implements the following Soft Rules */ /* #FBI-SR-000000066 https://inside-docupedia.bosch.com/confluence/pages/viewpage.action?pageId=1767424464 */ /* Restrictions: */ /* - Restricted to certain company codes (legal entities in the scope of BBM) */ /* Changes: */ /* - V01.09.00 Corrected field Plant */ /* - V01.08.00 Performance Optimization Ilja Frolov GS/BDD1 2023-03-03 */ /* - V01.07.00 Added field Plant */ /* - V01.06.00 Softrule V_SR_CompanyCodeForOptravis_V1 included */ /* - V01.05.00 Reworked view to use new CO-PA RAWVault and added Field ProfitCenter */ /* - V01.04.00 Added column SourceSystem (2021-02-10) */ /* - V01.03.00 Rename MaterialOrig to Material; Add SalesDocumentType (2020-12-16) */ /* - V01.02.00 Adjust TotalNetSales calculation based on changed customer requirement */ /* Use new MDS-based tables for CompanyCodeScope definition (2020-11-11) */ /* - V01.01.00 Replace WWR04 by ARTNR as source for MaterialOrig (2020-10-19) */ /* - V01.00.01 Re-worked based on refined customer requirement (2020-09-30) */ /* - V01.00.00 Initial version (2020-09-03) */ /* =*/"
INFI_CIVS_CSC1;105;INFormation Mart as Interface;V_ProfitCenter_V1_IDIM1;16979387;V ;VIEW;1955;/**/ /* View: V_ProfitCenter_V1_IDIM1 */ /**/ /* =*/ /* V01.00.00 2022-05-04 FRI3SH */ /* This view provides the Profit Center Code for the application CIVS (Central Inventory */ /* Valuation Solution) of GS. This Dimension is referenced via linked Server by Core Light */ /* Data.CORE Outgoing Interface #0228 https://inside-docupedia.bosch.com/confluence/x/KcYxhg */ /* Restriction: */ /* none */ /* Changes: */ /* V01.00.00 - Initial version */ /* =*/
INFI_Costs_CDP_CSC2;69;INFormation Mart as Interface;V_INTF_CDP_CostActual_V2_IFCT0_D7;17083497;V ;VIEW;3974;/**/ /* View: V_INTF_CDP_CostActual_V2_IFCT0_D7 */ /**/ /* = */ /* V01.00.00 2023-03-15 Ismail Okadia GS/TET3-NA */ /* This view is to provide CO-OM Cost Actuals data for Cost Driver Planning application (CDP) */ /* Data.CORE Outgoing Interface #0337 https://inside-docupedia.bosch.com/confluence/x/RBnSqQ */ /* Implemented Soft Rules */ /* Filter Cost Actual Fact Data by Company Code Positive List */ /* #FBI-SR-000000057 https://inside-docupedia.bosch.com/confluence/x/fFf1Yw */ /* Update: */ /* V01.00.00 Recreated view on top of persisted Fact [COCostActual_V2_MFCT0_D7] */ /* */
INFI_Costs_SSAS_CSC2;51;INFormation Mart as Interface;V_FactActualCostMaintenanceOrder_G4_DemoSystem;17643356;V ;VIEW;4559;/**/ /* View: V_FactActualCostMaintenanceOrder_G4_DemoSystem */ /**/ /**/ /* V01.00.03 2021-09-24 Szivos Andras CI/BTM-AC1 */ /* Fact view for Costs Maintenance Order booked on Maintenance Orders from P81, but anonimized for DemoSystem purposes */ /* Changes: */ /* - V01.00.03 2021-11-23 Szivos Andras CI/BTM-AC1 Clean up of SQL code */ /* - V01.00.02 2021-09-24 Szivos Andras CI/BTM-AC1 Original version created */ /**/
MEAV_DataCORE_CSC1;47;MEtA Vault;V_COCostActualLineItemDelta_O2;20507452;V ;VIEW;2115;/**/ /* View: V_COCostActualLineItemDelta_O2 */ /**/ /* =*/ /* V01.00.00 2022-07-06 Yannick Sigwalt GS/BDD2 */ /* This view reads all the loaded records from [RAWV_COOM_CSC1].[COCostActualLineItem_WSAT0_O2_L] */ /* to identify new CO actuals cost line item */ /* Restriction: */ /* - none */ /* Update: */ /* - V01.00.00 - Initial version copied from V_COCostActualLineItemDelta_O1 (V01.00.00) */ /* =*/
